('000019c5-d0e2-4f15-bd0c-8375a48698e5'	'_KeRaMiS_'	'46.109.172.49')
('002622b1-0a67-485f-a986-c8e6e6b0e44b'	'xIsabel_'	'62.195.255.35')
('0027242d-8cc5-4b37-9b69-5af2d7df51d9'	'CouncilMan'	'81.137.221.72')
('00278a92-3b6d-4702-b151-c9c7267f2e22'	'animeless'	'75.109.75.18')
('0027e5fb-314d-4288-a84c-9ef2c7a7bf54'	'BodyShakes'	'207.253.172.45')
('00280d95-40e6-487f-848a-f91c2e5f1d8d'	'grootGELD'	'81.207.55.64')
('002d1f8e-7bc8-4503-b9dd-6c57ed4ef7eb'	'Rageinq'	'178.221.6.227')
('002eb97e-4288-4a23-a4a0-078bd6294792'	'SHAMKE'	'92.232.122.115')
('002f68aa-dcb0-4849-b77a-c799b2441290'	'ElChavitoDel8'	'190.22.205.3')
('0036d912-8e30-48d5-8ecb-982131b9889a'	'LokerYT'	'176.26.63.178')
('00405466-91e0-4fef-a78a-3c314623de38'	'2Fr'	'122.150.220.168')
('0041ca95-58e9-4c82-bc4a-d1e71f9cf86f'	'Diamondman1218'	'76.110.114.43')
('0042ed43-3799-47ee-8fac-fd3a99a8420b'	'iMRC'	'190.234.106.99')
('00460c22-29e2-4982-96a8-c50fab509835'	'mintf100'	'69.59.109.27')
('004679d7-3163-4e06-a36f-8c6c531d7681'	'Nuceeder'	'87.239.254.7')
('00484c0b-0675-4fcf-a5c2-78c97d90ced1'	'Ofekminecraft'	'71.115.182.68')
('004a11fd-9e49-4685-8c4f-1a5b25d8c011'	'177ms'	'67.189.197.89')
('004db347-98dd-4d84-bb09-813deac14a37'	'Altash'	'189.219.123.183')
('004dd778-df25-4f5d-b23e-0c14f42474f5'	'eliwiel'	'98.252.75.123')
('0050fbe4-82ad-483b-a8ff-e1990ab54d32'	'Graveside'	'79.75.14.163')
('00514db3-4fc8-40c3-a895-018e4c04e773'	'MrPhawks'	'181.226.65.116')
('00519f88-7c06-4377-bd96-ac4d315b895c'	'Ciderest'	'84.84.70.54')
('00521a61-ff82-4621-a47c-1288cb5c39d5'	'Liegen'	'141.135.201.1')
('00574fc0-67ab-4057-9941-4c95d9b3a7c2'	'fuzzyworriors123'	'86.136.77.131')
('00585c55-a940-44eb-8b89-90e9938171bd'	'micki25'	'90.204.217.15')
('00591d2f-c4d1-4f42-94e7-9e6f3958ed9d'	'icosahedra'	'24.15.57.195')
('005cede4-3e4b-41fb-86fc-325930c8f1f1'	'IzzyCS'	'72.204.88.29')
('005e6c7f-06ef-4b40-99a0-602855cc77b2'	'WvD'	'82.9.203.27')
('005fc3d7-f9da-4a77-a045-82940af2abb2'	'_TaigaPvP'	'81.240.137.106')
('0060fb30-2ea1-4c8b-a5a7-6f60e074c7ee'	'kaki1'	'69.167.31.24')
('00615efd-1c23-4e7c-b368-253c18e8ef73'	'Dumerlin'	'72.23.113.42')
('0062246d-0e16-4e0f-9f56-c1dc8e6dd39c'	'Zahgy'	'75.140.6.129')
('0062fe1e-ea8d-4162-aa6a-a68c8ed8b4ed'	'Registering'	'73.184.164.191')
('00635f5f-e151-40a8-be0d-282e0b04826c'	'TAZEFUL'	'50.178.3.65')
('00662821-9faa-4c89-a7c2-f57bef8a2369'	'danchus'	'181.111.29.144')
('006726f4-e533-45e8-8c4c-d1fec138785a'	'_AmeliaHere_'	'78.88.28.101')
('00683aae-33a4-41ce-82d3-4d6561257a6f'	'ShoxyBae'	'74.243.49.93')
('006986f2-fe0a-4255-a449-fe8941e2373c'	'Mexicocity'	'32.214.162.31')
('006b6dcf-4f2a-44e3-9d07-69b1a0a190d5'	'vladanakin'	'195.154.181.131')
('006f66d3-9cf6-45ab-87f8-83617300abdf'	'WAGGWAN'	'92.234.211.46')
('00778dbe-8ad8-4d25-8ebf-9116db071851'	'Wqffy'	'76.237.89.199')
('007940e7-07e3-4f02-8b03-353e7042f813'	'funkeytadpole98'	'84.211.134.68')
('007a2961-0b19-479f-ae09-df6990db64c7'	'ItsTimeMC'	'181.49.66.90')
('007b463c-dfe7-45e2-8565-f22d08cf0616'	'joker4653'	'110.175.11.10')
('007bda39-87e1-4e7f-a7dd-1a38a329ca9f'	'ExDraGoNz'	'171.5.238.151')
('007d7fcd-a93a-49ab-a0d0-b24c5a3ae1e4'	'STradomzzz'	'151.228.92.128')
('007dac1f-6681-4170-a10d-cdf086201abb'	'sweetgod'	'68.190.19.22')
('007fb6f3-f78a-4245-a9e1-d696ce6db611'	'_Resources_'	'99.120.9.119')
('00816880-6687-4216-9fe2-87fcf5a66b05'	'ItzzMonstarr'	'96.40.184.203')
('0083238f-3924-4e3b-bff2-8b8a2a89ef74'	'_sachivka_'	'24.186.222.115')
('008450eb-7170-4941-8d1a-0c29c49f5708'	'ScoutTactics'	'65.128.52.142')
('00849361-d49c-4755-bcf6-516b8dd5c061'	'DrUnKt0oMuCh'	'73.157.98.204')
('00884340-46a6-4891-8667-7cf6293fc606'	'BlitzGamesYT'	'73.165.2.93')
('008ab477-db0a-4786-a5f2-a03a346089a5'	'meltable'	'104.205.77.208')
('008d2bd8-484f-439c-b168-fb644f886d85'	'TheCraftpower'	'71.145.200.167')
('0093149a-87b1-4dce-a4b7-a325d68b716e'	'FreziX'	'77.105.62.197')
('00972433-bf99-4b56-be88-82c9a588b75f'	'Kaptain_Krispy'	'82.169.157.234')
('0099a5e7-7a7a-45b9-942b-4e7dfa484747'	'BadlionKB'	'67.198.127.26')
('009b8cc8-d34a-4c43-b4e5-49409a4c34b7'	'OG_MethodZ'	'81.158.22.59')
('009d696e-41df-48f5-b378-ded57e887923'	'Banditz54'	'121.214.13.52')
('00a21686-5175-400a-8e25-440073028dd0'	'__voldemort__'	'73.169.21.94')
('00a59817-7f32-499f-a8ec-c93f844abc00'	'tEWl'	'71.63.223.50')
('00a80a7e-3bc1-4644-9a59-c1a4f5558d3c'	'MrSilvery'	'77.196.76.26')
('00ad28d1-4fa5-432b-80f9-ba589bbd5444'	'RomerOP'	'79.180.228.173')
('00ad969f-0a7f-41d7-8584-74055d4120f0'	'ItsAlexz'	'174.30.238.81')
('00ae002e-187e-42c1-b586-06cd74657ba8'	'EastCoastPinger'	'47.18.42.21')
('00ae8796-a4e3-4ee4-adfc-7cf724c7c1c6'	'JAZMYN0627'	'213.169.149.121')
('00af866a-3cbd-4983-801e-ec67d2862635'	'BTK_Walde'	'51.235.227.133')
('00b531d9-bc55-4b9d-9690-6eb4691739f2'	'PerezaOp'	'186.116.246.186')
('00b6f7f2-13b5-4ecc-8cd2-7032a8218905'	'GrimVoid'	'107.5.110.133')
('00b72643-1e90-4d4c-b200-ba596932bc36'	'Youri_tb'	'81.206.88.184')
('00b8aa58-cbd0-4e0b-a3b5-a744524aef63'	'MrEvilLibra'	'107.214.114.24')
('00bc3503-4161-4c0d-bb3c-9485983b462e'	'bradybearpants'	'71.68.83.243')
('00bd1ec1-a888-4a75-8423-95a77ccb4ca6'	'Staz67'	'108.31.36.252')
('00bdb06d-7c58-4c00-9a19-c9ccc3e2998d'	'AquaCrate'	'181.198.207.51')
('00be91b3-8b19-471b-9d84-1a6029e4c04e'	'snippin'	'73.206.194.83')
('00bf01ea-6d30-4648-9b69-adfe56e4c344'	'TanBallz'	'86.100.6.57')
('00c46079-0dd2-4419-b14b-7e9b8caa9776'	'GrizzlyAura'	'96.52.201.73')
('00c5d01c-52b8-483a-84b3-f5b80fc45b29'	'KoalaGangMember'	'24.14.48.228')
('00c8046b-9b04-4b71-b8bc-de104dd52f1d'	'xCrafty'	'151.230.71.171')
('00c809c4-92b4-4f16-86b6-f81eefdf4155'	'WIRELESSLY'	'108.31.22.102')
('00c80b74-6705-4806-ab3c-9af61ec5930a'	'Ryakuto'	'82.30.95.76')
('00c8c492-8f1e-4b65-93c7-95306d5b144b'	'lSkrqth'	'84.87.144.167')
('00cb514c-a180-479d-a8e9-0b808042a6df'	'LingLingJr'	'82.12.132.93')
('00ccbe24-8320-497a-a955-aea2c595e471'	'Overdosing'	'122.148.247.215')
('00ccec61-201c-49a6-8764-154bddd9ea99'	'Attention'	'73.174.230.30')
('00ceaed3-3715-49e9-b45f-0e01cf94f798'	'Anticry'	'108.16.1.234')
('00cf5085-25cc-4414-933d-341397eb1b13'	'SpencerM8'	'137.119.147.214')
('00cfd3a2-97e6-44c8-b34b-eab224cb0432'	'joukiyoshi'	'87.19.219.26')
('00d2583a-e237-48d2-b7ff-4f9d464e6bbf'	'Cartridges'	'73.143.52.204')
('00d41f4c-5f3c-43e2-80f6-8738e4c9a783'	'onyourdome'	'173.89.74.253')
('00d7af0f-ec14-49c5-9d22-ba60219e956d'	'Oblivion_Dom'	'71.79.33.194')
('00dae805-80b8-4900-b5c8-194e2b8a5dc4'	'Kaosss'	'81.136.91.3')
('00dce9d0-af05-4b76-9ac8-9c8f1a791878'	'GetShrektLife'	'76.197.29.207')
('00de5ee1-d720-4732-a1f6-d0f780365447'	'Vaiana'	'157.157.72.196')
('00e097ec-b8be-41f0-8601-4f56d5aab844'	'DANNMEX'	'189.249.148.253')
('00e0b6aa-92a2-4c3c-8c4a-29f572a3b18d'	'Mr3ms'	'81.129.207.192')
('00e33676-b178-4554-99a1-afa19667b8e1'	'IronCity804'	'108.4.76.244')
('00e433c4-242c-4ada-bfa8-37ededbc655d'	'BigTimeJabroni'	'99.185.0.186')
('00e636f9-c9b7-43ba-966b-dc4bfc06d4f1'	'Deafs'	'70.162.143.119')
('00e95cca-5f2c-46c6-a424-217ea9f6bc70'	'TomiDF'	'181.94.27.214')
('00eb0091-16cc-48a1-bc88-2caa3fddd7b8'	'ybruh'	'151.65.19.245')
('00ebe9d2-fb25-406b-8207-cbf1ef1ea7a4'	'iHeart_MineCraft'	'184.57.227.146')
('00ec06c2-506d-4910-a5d1-4aac1cc5eb2c'	'keeeekS12'	'89.164.47.203')
('00ef7b5b-3ce1-4b08-9eb6-45ca065a8d10'	'Itz_SKuLL_PvP'	'186.105.126.100')
('00f5d9b6-2ec6-460c-8fa6-e9ccb674efb3'	'ArmorBreaker'	'78.30.129.195')
('00f9347a-3b7a-467e-b6a2-21215722ecdc'	'Vacants'	'178.84.83.95')
('00fc08a9-2b97-4efe-b798-d90619ef0d01'	'OPRohan'	'68.36.68.158')
('00ff80ea-1032-4965-9460-4f12f0105aa9'	'thxbud'	'148.75.187.48')
('01006775-6661-47f4-8e57-5bf5794086a1'	'Zigy'	'50.191.117.94')
('01016a53-ca49-4224-b3e9-18d40c6ea203'	'Perfectionistic'	'79.76.162.159')
('0101bc21-44fe-4131-939e-a7cd9bd45694'	'SkittlezMonster3'	'68.106.230.19')
('0101d4f6-3a93-4d0c-a81d-cc8f7651a313'	'N1N'	'86.143.131.241')
('01053817-55ac-49fb-95dd-76d305a07647'	'VapoRub'	'190.141.120.218')
('01065bca-19c2-4502-bdce-76037f6e22f8'	'Bxn_RB'	'95.146.252.175')
('01083794-39b7-4c13-8741-ebc181e3c649'	'Walkthrough'	'98.254.132.27')
('01083eda-d08a-4155-8e63-5c96c270483f'	'Kaxo'	'176.254.54.115')
('010944ee-4de7-4b78-ac6e-cc45bc68d837'	'Corlate'	'73.231.2.248')
('010aefc2-4d4f-4c89-a3c8-739e8888021b'	'chqnse'	'212.34.23.242')
('010d16f3-c4ac-4e8a-a845-6dfea9f04364'	'Hosufat'	'147.194.18.205')
('010e4267-8a8f-450e-bc3c-d157997c0e99'	'ikbeneenkoempel'	'84.80.214.159')
('0110c7b1-f7c3-48c2-ae6a-88b020bf30ac'	'ImPana'	'23.91.130.91')
('0110f104-f32d-4258-becd-6d26a28a12d3'	'KnockerOG'	'108.226.68.11')
('0111a863-f66f-489e-860d-c96aac7e3f05'	'KawaiiKat500'	'104.59.114.90')
('01122728-89ca-4c4d-a14a-9148cb1a07a6'	'24th'	'86.182.43.224')
('01122d06-66fc-47f6-a02a-6595e6f34b4b'	'Ducklings_'	'121.222.28.164')
('01134a41-b569-45ef-9251-a826fc41f128'	'John_T_BabyArms'	'71.183.62.52')
('01184f1c-1812-4ff3-9ee7-799552ebf518'	'aden4'	'73.37.168.57')
('011a58eb-4cb5-4944-87ca-02d45c0feace'	'MeMinecraftPro'	'50.36.213.62')
('0120f696-1be5-415b-924c-c118603ab619'	'Partings'	'174.114.26.220')
('01213f64-f321-4efd-aed3-e67fde809fdc'	'iJotaah_'	'148.3.75.129')
('0122f91a-b9ec-4815-b635-3e92c20b04fb'	'D3thPhantom'	'82.22.115.184')
('0122f952-5f9c-43e9-ba0c-ef7a09df28ac'	'PotionSplash'	'186.130.18.74')
('01233caa-525b-4687-a332-c250c937796a'	'KidsGoAwey'	'89.164.187.37')
('012a2504-9576-46d3-9184-6c29247f336f'	'bobwizard67'	'108.228.208.210')
('012c4762-09cb-4d10-917f-b524044ded3a'	'avacaHOE'	'63.230.196.40')
('01323860-0b1c-4369-b78f-831ba526bdfb'	'badooss'	'200.7.193.139')
('01329be2-3181-4d6a-94c7-4a2a9680b3cb'	'Fermented'	'90.149.9.146')
('0133877f-5c6e-45bd-b586-6dbd2afa9d2f'	'x0xCidx0x'	'73.252.176.133')
('0134788a-cb06-4b9e-8787-6f07505ac3a5'	'DankMemeTM'	'217.123.109.130')
('01392d12-1a18-452e-823e-1ca3addd14f4'	'Ante010'	'93.143.190.23')
('013ac19f-9b95-42ca-a07f-c75d14213efd'	'iVendetta'	'98.160.102.2')
('013acb46-0fb2-4e05-a19d-0a68b98ad6fd'	'Lqkszz'	'201.251.10.198')
('013c35ef-719c-445c-b5e9-f8268bc20de0'	'Si1vErSo1dIeR'	'162.207.60.91')
('013e4a92-c995-472b-8165-288c89ef64a7'	'Chubbay'	'173.238.180.124')
('013e4ba4-17ca-4f0b-8c14-7118238c6ee3'	'uCoin3_'	'189.202.53.56')
('01430933-29bb-47fd-bcce-dd2985127bb6'	'_TurtIe_'	'76.110.106.5')
('0145efd0-71e9-4bcb-bfbc-e532c05afcb2'	'PVP_King0221'	'76.202.145.205')
('014811b2-5091-46b3-915f-824f39959dbb'	'BlowPipe'	'108.217.160.81')
('0148b54f-3734-49d4-aa56-f40f21a2b670'	'LoganComboZ'	'174.97.14.245')
('0149bd58-6a5b-4c71-9c65-b8f205787367'	'Hawn'	'86.191.121.198')
('014ca0a0-b6a2-4fd9-b243-3b8908eab356'	'SEFYY'	'114.171.63.94')
('014d85ce-322a-40a4-a943-b0fe07de3fb1'	'AlexIsSweaty'	'103.27.225.235')
('014e4290-97f5-4b01-8e22-cf5eb16740f2'	'Hide_On_Scalimur'	'190.2.98.21')
('014f8942-2046-4c44-a579-1534bb2f2032'	'LilBolt'	'173.173.244.5')
('015279c1-7d5d-4c7e-ae8d-5283fe5006a4'	'Firnya'	'178.84.118.116')
('015550e0-ad06-48ac-8470-674d1f1170f0'	'Arydya'	'24.101.185.242')
('015587da-651c-4fe8-9285-fec52c588f5e'	'DiingleBerry'	'71.200.12.34')
('01568f1c-4b99-4ea2-8f73-73c5fa8e9a20'	'MatthijsOnPoiint'	'212.187.111.169')
('01585409-e8de-4ad0-add8-add1fe6eae58'	'matijak10'	'89.164.235.95')
('015878b8-eae4-4137-bac5-1943174ea185'	'Extreme_Play'	'187.116.100.215')
('015b850b-fad7-4bf0-ad71-13491ff8ed5c'	'Drkavac'	'188.2.229.188')
('015bf512-b791-4214-a363-ede79715c4c3'	'jdogthecool'	'190.194.46.10')
('015cc92d-2e00-41f5-a27e-18f16365a211'	'tokurai'	'64.250.67.163')
('015f0730-2b60-43a2-a61b-55959eeb0f06'	'Gunsndbuns01'	'187.152.56.50')
('015f515c-4f8b-4201-8567-9c24e7bb40c4'	'Xman_swag'	'68.235.37.86')
('0163c8da-a12b-4624-9ccb-e54b7c941787'	'Piggayy'	'80.200.106.151')
('0166b149-2801-472a-9d23-c556f1c0fcdf'	'B1oodyGamer11'	'24.222.133.114')
('017042cd-5206-4471-98fa-217b7c3c89f8'	'KOOLAID04'	'200.121.254.225')
('01708265-85d0-4223-90e2-08947d1c438b'	'Daniel_Welch'	'75.131.26.248')
('01715f52-d9c8-46b4-9e8f-1c254d38b113'	'Suite'	'96.52.136.160')
('0171d909-91e3-43f3-8bdd-b61f7c0c2703'	'macroh'	'122.149.242.221')
('0174f0a7-aafc-4e0d-96a1-47f8ad1e8f5c'	'Psyko_Siri'	'24.54.167.69')
('0178974b-6667-4e62-acbb-475e064acbd3'	'Dropin'	'108.91.168.230')
('017938ea-41ff-4416-b8df-1a162a0c1ecd'	'Interbilal'	'5.158.242.58')
('017b6b6a-7e8a-41f6-a83c-5c786d2a97c5'	'SnowyEdits'	'173.216.46.44')
('017c3d76-19e4-4b5c-8d06-c46e61713fda'	'jojop19'	'192.180.132.78')
('017c8348-c9dc-4596-9ac2-6980761c9ce3'	'P3ncilsharpener'	'74.215.8.212')
('017c99e6-ea14-4875-b96b-718f4fac58ee'	'Wammy'	'216.212.228.18')
('017d80f3-0f7c-46e4-b595-292470c3e20f'	'HardKent'	'82.9.203.27')
('017e6134-48d8-4dab-965f-cb11b6cb07ec'	'Distraint'	'69.156.106.248')
('017f7099-8334-4a64-a322-abac8a7d0320'	'Blazikan'	'100.34.104.47')
('0180c73c-4f5d-45d0-9be6-4b987d35c832'	'CharliePlayz_YT'	'76.89.203.178')
('01814694-8326-4a44-8a1b-5bada048e76a'	'fastcraft54'	'204.195.46.235')
('018164fc-9682-42a3-89f9-4fae8c3025a2'	'BlitzMixedGaming'	'174.114.146.173')
('018186a2-787c-405a-aa97-20f103274179'	'PotRefillsHoe'	'108.36.104.177')
('01842208-b3db-4244-9df0-76f772752afd'	'iElite_PvP'	'162.221.120.62')
('0186b7e4-0865-480b-90a8-611912ccd307'	'ItzCozmo'	'71.67.186.175')
('0186d9bc-cc45-4985-92d5-597c421c29a4'	'LeUnknownGamer'	'23.92.136.9')
('01876bdf-1c3b-4d51-82eb-6c570da2d651'	'LmGang'	'86.97.158.254')
('01878b79-47aa-484d-882c-838e4536a617'	'ghostrider3214'	'70.35.76.201')
('0189ad56-af7d-4f2a-90f7-28d5356e8d32'	'KysToallOfYou'	'172.192.161.177')
('0189bb28-15c8-4448-ac5c-f78e1536ea65'	'Van_Damme'	'69.167.10.201')
('018bf290-2074-42c2-b89a-fd256be1af3d'	'StaminaPvP'	'166.175.56.134')
('018c9f82-4749-491c-9c65-2b291d520c73'	'CallMehRose'	'108.12.244.62')
('0190cbfe-ce1f-4dde-a4d1-088d55208270'	'ImRofl'	'73.4.172.94')
('0191d4dc-0319-47c0-a64f-93adb3a0f401'	'Flammer_'	'151.24.192.228')
('019277f9-53c7-46ad-a163-7304861bc168'	'DrekClient'	'189.6.18.167')
('01935d1d-6a3a-4c00-af0e-f6a9c04f151d'	'gamerarias101'	'75.174.48.224')
('01949996-34b7-4a32-a948-a55b2435114f'	'2fx'	'203.40.24.251')
('01979236-d7b6-4490-9982-1c2922aa4cff'	'Womboed'	'86.130.64.128')
('019907af-7424-46e0-ada3-8d8b9222ef76'	'Fiber'	'73.195.211.1')
('0199aea8-c487-409f-8903-05ed4f037861'	'IcedCube'	'99.53.64.160')
('019a0913-11f5-4df8-9358-55a8cda476c8'	'Qc_RPZ'	'76.67.51.60')
('019fe5a2-2312-4414-a188-b22d77b06a88'	'BabyVious'	'50.99.218.145')
('01a02d56-33be-4cea-a1c2-7051cd4de75c'	'LaidSpade'	'81.154.113.21')
('01a1e086-ace3-4679-8aec-bea48450066b'	'Cohagon'	'68.191.156.130')
('01a24d16-362f-419b-b7e1-42265a6614ae'	'LazyCombos'	'101.177.200.90')
('01a4106b-aa11-49a2-a093-e8bbb75662ca'	'ChxckysUglyDad'	'92.237.38.12')
('01a42a6b-445f-46af-bb7b-9a2bd81c8314'	'LordTaserTickles'	'50.168.59.124')
('01a785ee-004d-403a-be22-d72d4c932176'	'SplashHD'	'78.23.73.118')
('01a7caa4-5610-4353-a3cd-05a5203cb5fa'	'Joe_Drops'	'67.1.154.180')
('01aac70d-a4da-46a9-9bb4-64cd869c50a3'	'cliqks'	'77.167.237.8')
('01aaee1b-ba1f-4c0d-ae10-a1f33ed6aa77'	'kewds'	'47.215.208.27')
('01ac967e-16fe-48c7-a8c2-98d43230307e'	'RO__K'	'72.192.2.213')
('01ad2e16-8957-41df-9829-5af24fb8a5e2'	'RefusinqJR'	'98.227.128.131')
('01af9d9a-8966-485f-8652-775eb7f4786b'	'3v7'	'24.132.69.205')
('01afb3ae-25c8-4c21-9a1f-3fed5929ff9b'	'LordFinzenz'	'217.149.117.232')
('01b0daa6-37f3-4040-bc66-11fdaa046de6'	'BetterDenYou'	'66.222.216.71')
('01b2b35e-fc0b-4221-9b9f-b82d1b605671'	'MSB97'	'51.175.5.74')
('01b32cc8-44a0-4c5f-a7fc-01b463332c11'	'Hoodrat'	'75.137.218.135')
('01b471c2-ea2c-42be-ac2c-16d53c2649e9'	'EGZKBaguette'	'82.8.219.109')
('01bb1424-6c24-4ab2-bcec-a520b19c61d4'	'ChubbyPleb'	'162.226.190.64')
('01bcdcd0-d532-4d31-926f-f1aeed9a3a49'	'KYSTEH'	'46.24.247.55')
('01c37def-2d6f-474e-af3b-b7a8f4e5947a'	'Itz_Negro_Teton'	'88.3.65.72')
('01c5c396-c346-47ea-994f-39ad53285a1a'	'H0TBAR'	'172.56.28.125')
('01c691c6-7d1f-4575-b465-ecd9c07d09fa'	'ItsXpero'	'98.20.45.81')
('01c6a080-219b-4178-8ed2-25bc23fd2075'	'Tinamelody9'	'141.134.113.75')
('01c71ff4-fae1-4e55-8b2a-8d822b64ce02'	'Droqqed'	'37.152.192.150')
('01ca0979-8dea-4f61-81f7-901c5b700aa9'	'Kawzh'	'101.165.132.45')
('01ccf86f-1a0f-4c07-a51f-1a0548cebefc'	'xAleks'	'66.176.50.226')
('01cd8bc0-ca76-40e9-8ff7-c5bb90ccdfb2'	'NoHaxJustAltz'	'50.101.248.229')
('01ced6f9-4c79-464d-ac3f-ab86955a8e41'	'theroadrunner326'	'98.161.2.148')
('01d0d1da-fa53-4710-901f-a4b73bafb1b5'	'ItzJakee'	'172.0.171.70')
('01d2716c-3b6a-4a13-8903-d462c080d582'	'david'	'68.108.238.193')
('01d2c383-f90b-4446-8044-c9c38c1572a3'	'XxCandy_GirlxX'	'50.183.104.150')
('01d526a3-997d-4fff-8533-e9f5742a5917'	'D34THBR0Z'	'73.184.219.21')
('01d59e20-77a1-4aa0-8bb7-f51f26e73a49'	'ChristiMcMistie'	'5.103.93.253')
('01d88514-c4ec-4912-bce3-5d9ca2bb49c9'	'Discern'	'174.115.247.97')
('01dc5549-3ad2-4f7a-8777-a1b37b933d9b'	'DrewRBillingsley'	'50.143.29.147')
('01dc985c-3a69-4e11-b82e-f339458076a1'	'Diviqs'	'69.126.237.136')
('01dca01b-4458-4e2a-98d5-3b56b6d7c01c'	'AddMyUser'	'109.153.156.54')
('01df05f7-2052-48cb-861b-02b75a2d8af3'	'Amon'	'200.112.248.67')
('01df2b0b-5d41-4241-9e9b-6b301f3cb377'	'iiFlamingo'	'89.205.38.18')
('01e08b36-2c44-4449-b002-44dcef855cc6'	'Negitive'	'31.54.145.130')
('01e2f040-6de0-496b-a3ba-0128c6e27ee3'	'Mr_Taizun'	'180.176.41.179')
('01e5ad0f-fab3-4939-a2a4-cb69081ee388'	'Audits'	'98.155.196.35')
('01ea4603-2b5b-44f3-9f1d-004e5bf69b71'	'G3hrety'	'5.88.252.227')
('01f1a77e-d6a3-4bb4-8262-821515fe258d'	'PrinceHenry'	'45.23.155.1')
('01faf3e4-53ea-4f0c-a373-930521ec9d6e'	'YAHBOICHIPSAHOY'	'73.147.56.69')
('01fe4c1f-84b4-46f4-ab79-4d9e72b5ab31'	'Tdog56789'	'176.23.82.205')
('02001e92-9258-4786-89c3-7f5561a2a556'	'Nured'	'45.25.159.99')
('020046f3-6db3-4e5c-910f-8210f0994821'	'grouchysolution'	'71.60.85.209')
('0200b243-3f93-46ea-99f5-c6d58f1caa7b'	'ImDifferentOk'	'94.64.128.218')
('020130c7-5581-4132-83ed-9c5b2f7412da'	'thepageofbreath'	'186.0.230.3')
('02032b80-4fcb-4127-8b75-225a0e8fe9b8'	'BikiniLad'	'41.180.137.234')
('020902ac-e826-428b-9385-a6e0bb5cc8f9'	'UmWtf'	'216.254.249.56')
('020dfeb0-579c-41c0-9981-47bc4dccfbd4'	'Hypersonic150'	'92.234.242.237')
('020facf1-5458-404a-a721-c7162bcc2f21'	'xCriticalPvPx'	'87.195.145.61')
('020fdbb0-c8ca-4d21-bfde-d3da9b9e7155'	'O_oLeiki'	'78.84.26.111')
('02120302-01e1-4c01-81b0-6075792941b9'	'XstrimGejmer'	'213.196.72.194')
('0216dfba-b5ee-476d-942b-4ef64a6ca953'	'5v8'	'69.47.80.207')
('021791d3-eecb-4e24-be56-772dd5ef7d05'	'GoodFights'	'71.239.34.65')
('0218ea34-b9d4-44fb-99a4-a6363def6d75'	'Wiqrd'	'78.84.158.40')
('021ef9e2-673f-46a4-b1d2-318714e1de88'	'XXX_YUNGGIANNI_X'	'69.119.193.193')
('02207ae4-70a8-4799-add8-e074a3726197'	'InstallHacks'	'24.44.33.246')
('02208434-2c4b-4a68-8e17-5020ff91f85a'	'PapiSpankMe'	'69.125.168.151')
('02243b8a-cbf8-40d4-9fca-b906ce5dcf14'	'p00sy'	'96.39.195.92')
('0224d56f-630c-4b7d-a4b9-6294079fb411'	'SpicyyPvP'	'176.26.115.202')
('0225ddb5-e8a8-430c-86d9-5ec64230ee08'	'munkieman14'	'98.245.163.162')
